objectid,comunidad,provincia,nombre,grado_ocupacion,paseo_maritimo,nudismo,acceso_disc,Autobús,aparcamiento,aseos,lavapies,duchas,telefonos,papelera,oficina_tur,zona_infantil,zona_deportiva,club_nautico,submarino,zona_surf
142,Andalucía,Almería,Cala Arena,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
143,Andalucía,Almería,Calas del Barronal,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
144,Andalucía,Almería,Cala Carbón,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,Andalucía,Almería,Cala Chica,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,Andalucía,Almería,Cala de Enmedio,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,Andalucía,Almería,Cala de la Media Luna,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,Andalucía,Almería,Cala de la Polacra,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
149,Andalucía,Almería,Cala de los Amarillos,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
150,Andalucía,Almería,Cala de Mónsul,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,Andalucía,Almería,Cala del Carnaje,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
152,Andalucía,Almería,Cala del Cuervo,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,Andalucía,Almería,Cala del Plomo,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
154,Andalucía,Almería,Cala Higuera,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
155,Andalucía,Almería,Cala Príncipe,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
156,Andalucía,Almería,Cala Rajá,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,Andalucía,Almería,Cala San Pedro,Bajo,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
158,Andalucía,Almería,El Arco,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159,Andalucía,Almería,El Embarcadero,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
160,Andalucía,Almería,Las Negras,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
161,Andalucía,Almería,Los Genoveses,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,Andalucía,Almería,Peñón Blanco,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
163,Andalucía,Almería,Playazo de Rodalquilar,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,Andalucía,Almería,San José,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
165,Andalucía,Almería,La Carolina,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
166,Andalucía,Almería,La Entrevista,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
167,Andalucía,Almería,Los Nardos,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168,Andalucía,Almería,Mar Rabiosa,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,Andalucía,Almería,Mar Serena,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
170,Andalucía,Almería,Aguadulce,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
171,Andalucía,Almería,Cerrillos,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
172,Andalucía,Almería,La Bajadilla,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
173,Andalucía,Almería,La Romanilla,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
174,Andalucía,Almería,Las Salinas,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
175,Andalucía,Almería,Los Bajos,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
176,Andalucía,Almería,Playa Serena,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,Andalucía,Almería,Urbanización Roquetas de Mar,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
178,Andalucía,Almería,El Playazo,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,Andalucía,Almería,Las Marinas-Bolaga,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
180,Andalucía,Almería,Puerto Rey,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
181,Andalucía,Cádiz,Cala Arenas,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
182,Andalucía,Cádiz,El Rinconcillo,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
183,Andalucía,Cádiz,Getares,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
184,Andalucía,Cádiz,Cañillos,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
185,Andalucía,Cádiz,Caños de Meca,Medio,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
186,Andalucía,Cádiz,El Carmen,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
